,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,AAPL,Apple Inc,Technology,Consumer Electronics,1280300057640,2223018730440,2890626871140,2064941499390,2986094670390,1280300057640,"18,28881556","33,93593425","25,91625351","24,44182353","27,79081179","37,28727842","0,01397136746","0,007227341517","0,005895871543","0,006083954603","0,005573960674","0,004358598337",8,8,8,8,8,8,"10,20399198","10,20399198","10,20399198","10,20399198","10,20399198","10,20399198","0,05828016558","0,03765598398","0,0378820037","0,04568520672","0,03694358068","0,03113076075","0,2157787371","0,2426948686","0,3892505618","0,4517476149","0,4338918292","0,4430708117","-0,02041077581","0,05512080377","0,3325938473","0,07793787604","-0,0280046053","0,02021994078","0,7232225751","1,040014811","0,8249577703","0,817452568","0,7468208552","0,6617803224","0,3781776811","0,3823324773","0,4177935963","0,4330963056","0,4413112958","0,4620634982","-0,003355704698","0,1043771044","0,7103658537","0,08912655971","0,003273322422","-0,008156606852",USA
1,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,12842419625,14701126920,17141591773,13754758079,16491773442,12842419625,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
2,ACWX,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,4136345539,4466444776,4682019788,3831508999,4298026798,4136345539,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
3,ADBE,Adobe Inc,Technology,Software - Application,158968420000,239557480000,268219379999,154635535000,270259800000,158968420000,"50,99908358","43,62194487","60,98813978","33,75086207","51,56573139","41,48782428",0,0,0,0,0,0,6,6,6,6,6,6,"8,168164721","8,168164721","8,168164721","8,168164721","8,168164721","8,168164721","0,02715445195","0,02313343613","0,02343881685","0,04607551376","0,02480182212","0,03391824635","0,1914649386","0,2246077184","0,2403208212","0,2459868022","0,2457777625","0,254079938","0,2371303547","0,1518805739","0,2266863537","0,1153626861","0,1024082699","0,1079911381","0,3631574786","0,04555357497","0,1241947566","0,05627214741","-0,3932425488","-0,1956767626","0,8502662672","0,8661796705","0,8818498575","0,8770305578","0,8787160596","0,8903510811","0,1538461538","0,805","-0,07479224377","0,007984031936","0,1712871287","0,04480135249",USA
4,ADI,Analog Devices Inc,Technology,Semiconductors,43761760440,54542359190,92330399070,83183057630,98439098400,43761760440,"29,61977285","35,79248476","49,59334819","27,36903524","24,32990502","68,41396493","0,01925788993","0,02028089877","0,01608778221","0,02053230304","0,02082137114","0,01604872242",7,7,7,7,7,7,"7,062895149","7,062895149","7,062895149","7,062895149","7,062895149","7,062895149","0,04898752271","0,04217494551","0,03468014408","0,05019701914","0,04409748773","0,02790660806","0,07775177017","0,06922617903","0,03376231654","0,06069660065","0,07520029048","0,04043436123","-0,03753183492","-0,06476461197","0,3061240152","0,6416348036","0,02427061268","-0,2339094614","1,917455842","1,783005771","1,871778664","0,9169191389","0,98210598","1,346011533","0,6699560095","0,6586544914","0,66355633","0,6495672157","0,6401359583","0,5708341338","-0,08270676692","-0,1038251366","0,05487804878","0,5173410405","0,2476190476","-0,4992366412",USA
5,ADP,Automatic Data Processing Inc,Technology,Software - Application,73315000000,75025960000,103095098000,98959698000,95773967000,73315000000,"31,56823535","26,00519441","32,58483972","29,82968293","26,64921542","25,79053891","0,01786413723","0,02292576331","0,01860716022","0,01885982695","0,02093544739","0,02256058635",7,7,7,7,7,7,"2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","0,02931486958","0,0375698772","0,03055802372","0,02894454815","0,03998806825","0,03714317231","0,2407096363","0,2424933215","0,2401791403","0,3664229395","0,4169970932","0,3937116676","0,06358936651","0,02924826457","0,02848565436","0,09949084996","0,09176096931","0,06608853999","0,08887008041","0,1168528","0,1975022891","0,4671660424","0,2594668802","0,1365344828","0,4670339748","0,4596156219","0,4647660176","0,468569489","0,4888631039","0,4994427838","0,2329411765","0,08782442748","0,06483983018","0,1537118192","0,1720740275","0,1089938839",USA
6,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,413795580,623487347,613919328,504138077,565283498,413795580,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
7,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,21930311680,42216020000,51747667559,16353396900,20742622000,21930311680,"50,05346487","23,69956259","67,17788925","45,60703095","47,05220277","37,05270829",0,0,0,0,0,0,7,7,7,7,7,7,"4,837207893","4,837207893","4,837207893","4,837207893","4,837207893","4,837207893","0,02696283042","0,01205238516","0,01487478257","0,01678759555","0,02903720043","0,03988130546","0,2799810846","0,1098102936","0,1842601744","0,0957980501","0,110339349","0,09992333706","0,2239032755","0,02706710498","0,5989799109","-0,05514089011","0,03417335295","0,03540724861","-0,8277124654","-1,81952699","-0,8975845268","-1,04526692","-1,014722391","-1,131993467","0,7245720036","0,7132997915","0,7426420286","0,7052295606","0,7008495026","0,6999626408","0,1239837398","3,05244123","-0,5676037483","-0,524251806","0,2603036876","-0,03270223752",USA
8,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,55912640000,78964500000,139893040000,82286100000,134680170000,55912640000,"19,71993718","15,0624924","21,56149796","11,78553103","16,05385064","21,35658074","0,01444844333","0,01443741061","0,006600810844","0,01135231862","0,008858385757","0,007776811766",7,7,7,7,7,7,"14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","0,05258408816","0,06204234142","0,03760414197","0,05997353206","0,06899546814","0,04884646786","0,1825816343","0,211152194","0,3063624694","0,3441379066","0,2876500578","0,2581663459","-0,1255312781","0,1775739321","0,3407161958","0,1180245415","0,02838859802","0,02485198175","0,5649249871","0,07455497382","0,1025988089","0,4642770647","-0,01572847682","-0,1611875782","0,4371577218","0,4471573073","0,4732255127","0,4651153772","0,4670211562","0,4745731528","-0,03378378378","0,3706293706","0,6326530612","0,1625","0,09005376344","0,06165228113",USA
9,AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals,17140330,65360694,414682200,139795920,207891760,17140330,"-0,4742823944","-1,427204234","-7,987029928","-1,269237365","-4,2964162","-1,410562162",0,0,0,0,0,0,2,2,2,2,2,2,"-5,140798535","-5,140798535","-5,140798535","-5,140798535","-5,140798535","-5,140798535","-0,6264658812","-0,3222484455","-0,1256066358","-0,4534823596","-0,09674104907","-0,4307139552","-0,07563579471","-0,07146413039","-0,1331389064","-0,2042936041","-0,08823830052","-0,1747020036","0,1776523676","-0,1804027763","0,2802176894","0,2102581281","-0,2720953714","0,4333992084","-38,4322887","-45,68071696","-8,482051282","-3,066522824","-8,444823924","-6,767080122","0,06286200853","0,06659337872","0,03745712412","-0,02157785375","0,01080244434","-0,002167090121","-0,0736196319","0,005714285714","0,1149425287","-1,025974026","0,608974359","-0,5655737705",USA
